Ticker,Portfolio,Chart Start,Trend Start,CoS1,CoS2,CoS3,CoS4,CoS5,CoS6,CoS7
TSM,Owned,6/20/2011,,0.74,0.88,0.99,1.15,1.3,1.45,1.9
TTD,Owned,9/21/2016,,0.62,0.7,0.77,0.87,1.01,1.14,1.38
TXG,Owned,9/12/2019,,0.72,0.79,0.865,0.95,1.03,1.12,1.27
UL,Owned,7/1/2008,,0.73,0.82,0.92,1,1.05,1.12,1.19
UPST,Owned,12/16/2020,,0.6,0.73,0.8,0.9,1.1,1.3,1.475
VRTX,Owned,11/3/2003,,0.64,0.7,0.8,0.92,1.02,1.17,1.35
VZ,Owned,10/1/2008,,0.75,0.85,0.92,0.98,1.05,1.1,1.21
WBA,Owned,1/4/1999,,0.57,0.65,0.75,0.9,1.1,1.3,1.51
WBS,Owned,8/3/2009,,0.6,0.7,0.8,0.9,1.1,1.3,1.5
WM,Owned,10/1/2008,,0.8,0.85,0.9,0.98,1.07,1.14,1.21
WMT,Owned,7/2/2007,,0.75,0.86,0.92,0.99,1.07,1.19,1.3
WPC,Owned,1/21/1998,,0.68,0.82,0.895,0.97,1.11,1.22,1.39
WRK,Owned,6/24/2015,1/2/2019,0.65,0.75,0.85,0.96,1.12,1.25,1.4
YUM,Owned,12/1/1999,,0.65,0.75,0.85,1,1.08,1.2,1.4
YUMC,Owned,10/17/2016,,0.8,0.87,0.925,1,1.04,1.1,1.18
ZM,Owned,4/18/2019,,0.6,0.7,0.82,0.91,1.07,1.26,1.51
A,Watch,4/28/2005,,0.700,0.820,0.935,1.090,1.240,1.480,1.700
ACIW,Watch,12/3/2007,,0.615,0.750,0.850,1.000,1.140,1.310,1.480
ACN,Watch,5/1/2002,,0.750,0.840,0.910,1.030,1.120,1.220,1.320
ADSK,Watch,8/1/2011,,0.640,0.710,0.800,0.900,1.020,1.200,1.410
AEP,Watch,8/1/2002,,0.640,0.735,0.885,0.960,1.040,1.160,1.350
AFL,Watch,12/13/2001,,0.640,0.760,0.820,0.950,1.110,1.260,1.380
AGR,Watch,12/17/2015,,0.795,0.863,0.930,0.985,1.030,1.100,1.145
AKAM,Watch,7/1/2011,,0.660,0.720,0.820,0.950,1.100,1.235,1.400
ALGN,Watch,10/27/2008,,0.620,0.750,0.880,0.970,1.100,1.290,1.450
ALLY,Watch,1/28/2014,,0.605,0.660,0.805,0.950,1.050,1.190,1.430
ALNY,Watch,9/1/2010,,0.550,0.670,0.810,0.970,1.150,1.320,1.690
AMBA,Watch,10/10/2012,,0.550,0.620,0.760,0.880,1.050,1.320,1.650
AMD,Watch,1/2/2013,,0.570,0.710,0.840,0.950,1.070,1.350,1.640
ANET,Watch,6/6/2014,,0.595,0.770,0.880,1.000,1.100,1.280,1.500
APPN,Watch,5/25/2017,,0.650,0.750,0.830,0.950,1.100,1.300,1.580
ASML,Watch,9/3/2002,,0.550,0.700,0.850,1.000,1.200,1.550,2.120
ATKR,Watch,3/22/2019,,0.700,0.820,0.900,1.000,1.150,1.320,1.470
ATVI,Watch,10/25/1993,,0.590,0.690,0.850,0.940,1.100,1.300,1.600
AVLR,Watch,6/15/2018,,0.700,0.785,0.920,1.000,1.100,1.200,1.350
AWK,Watch,4/23/2008,,0.760,0.820,0.870,0.960,1.040,1.120,1.280
AXON,Watch,10/1/2008,,0.550,0.750,0.900,1.100,1.300,1.520,1.900
AXP,Watch,1/2/1990,,0.570,0.690,0.790,0.920,1.090,1.280,1.600
AZN,Watch,5/22/1997,,0.680,0.770,0.900,1.050,1.150,1.300,1.520
BILI,Watch,5/7/2018,,0.580,0.650,0.770,0.900,1.055,1.290,1.500
BILL,Watch,12/12/2019,,0.650,0.750,0.860,0.960,1.090,1.200,1.300
BKNG,Watch,5/2/2011,,0.650,0.730,0.800,0.950,1.050,1.260,1.480
BMY,Watch,1/3/2006,,0.670,0.800,0.910,1.050,1.150,1.300,1.570
BNTX,Watch,10/10/2019,,0.640,0.760,0.825,0.930,1.050,1.250,1.710
BX,Watch,3/3/2008,,0.650,0.720,0.880,1.000,1.290,1.490,1.800
CAMT,Watch,5/1/2014,,0.520,0.650,0.790,0.950,1.150,1.450,1.850
CAT,Watch,3/1/1994,,0.550,0.640,0.780,0.920,1.180,1.370,1.520
CBOE,Watch,6/15/2010,,0.640,0.730,0.875,0.990,1.110,1.300,1.500
CCI,Watch,4/2/2012,,0.845,0.930,0.990,1.060,1.110,1.160,1.220
CDAY,Watch,3/15/2019,,0.745,0.855,0.920,1.030,1.120,1.220,1.300
CDNS,Watch,10/1/2008,,0.730,0.840,0.930,1.010,1.100,1.250,1.500
CERS,Watch,11/3/2008,,0.450,0.655,0.770,0.960,1.200,1.420,1.780
CHGG,Watch,8/15/2014,,0.560,0.700,0.850,1.000,1.180,1.340,1.500
CHWY,Watch,6/14/2019,,0.700,0.780,0.900,0.980,1.120,1.300,1.600
CLX,Watch,1/3/2005,,0.770,0.830,0.920,1.010,1.150,1.280,1.430
CME,Watch,11/3/2008,,0.700,0.800,0.870,0.950,1.030,1.130,1.320
CMG,Watch,1/26/2006,,0.470,0.600,0.750,0.960,1.300,1.500,2.000
CNSWF,Watch,3/2/2015,,0.765,0.860,0.900,0.970,1.035,1.120,1.190
COST,Watch,8/6/2003,,0.670,0.760,0.820,0.950,1.060,1.150,1.380
CROX,Watch,1/2/2018,,0.570,0.770,0.940,1.090,1.350,1.680,2.200
CRSP,Watch,10/19/2016,,0.550,0.685,0.850,1.000,1.200,1.450,2.000
CRUS,Watch,5/3/2010,,0.600,0.700,0.800,0.900,1.100,1.300,1.500
CSCO,Watch,4/2/2001,,0.565,0.700,0.880,0.960,1.150,1.380,1.620
CTXS,Watch,10/1/2003,,0.700,0.850,0.950,1.060,1.200,1.320,1.440
CVNA,Watch,4/28/2017,,0.660,0.750,0.820,1.020,1.140,1.260,1.500
DDOG,Watch,9/19/2019,,0.645,0.750,0.870,1.040,1.140,1.250,1.500
DE,Watch,3/13/1986,,0.640,0.730,0.850,1.000,1.200,1.450,1.960
DEA,Watch,2/6/2015,,0.750,0.860,0.900,0.950,1.040,1.150,1.190
DGX,Watch,8/1/2000,,0.720,0.790,0.840,0.960,1.100,1.200,1.350
DVA,Watch,2/2/2004,,0.670,0.755,0.850,0.950,1.100,1.280,1.500
DXCM,Watch,12/1/2009,,0.470,0.580,0.700,0.900,1.080,1.370,1.800
EDIT,Watch,2/3/2016,,0.590,0.700,0.820,0.970,1.150,1.340,1.590
EPAM,Watch,2/8/2012,,0.660,0.740,0.850,1.000,1.100,1.250,1.450
EXPE,Watch,7/21/2005,,0.560,0.650,0.790,0.900,1.040,1.250,1.700
FDS,Watch,6/28/1996,,0.650,0.750,0.840,1.000,1.110,1.290,1.500
FDX,Watch,8/2/1993,,0.600,0.740,0.880,1.000,1.230,1.450,1.700
FLT,Watch,12/15/2010,,0.630,0.720,0.800,0.930,1.020,1.160,1.350
FTNT,Watch,11/18/2009,,0.600,0.690,0.780,0.970,1.320,1.590,1.950
FTS,Watch,1/5/2010,,0.800,0.850,0.895,1.020,1.120,1.200,1.250
FUTU,Watch,6/3/2019,,0.620,0.800,0.950,1.075,1.210,1.500,1.820
GLPI,Watch,6/2/2014,,0.650,0.755,0.900,0.980,1.100,1.200,1.320
GOOG,Watch,5/1/2008,,0.710,0.820,0.900,1.000,1.150,1.250,1.450
GPN,Watch,1/16/2001,,0.530,0.650,0.800,0.920,1.140,1.300,1.700
GS,Watch,5/4/1999,,0.590,0.720,0.810,0.875,1.100,1.300,1.555
HCA,Watch,3/10/2011,,0.590,0.700,0.790,0.900,1.050,1.260,1.500
HD,Watch,11/5/2007,,0.650,0.790,0.870,0.970,1.040,1.130,1.250
HOLX,Watch,10/1/2008,,0.700,0.800,0.870,1.000,1.080,1.200,1.350
HUBS,Watch,10/9/2014,,0.570,0.670,0.840,1.010,1.150,1.330,1.510
HZNP,Watch,7/28/2011,,0.590,0.700,0.850,0.965,1.140,1.310,1.750
IBKR,Watch,9/15/2008,,0.640,0.750,0.900,1.050,1.200,1.550,1.800
IIVI,Watch,1/3/2000,,0.520,0.630,0.780,0.990,1.200,1.530,1.900
ILMN,Watch,7/28/2000,,0.510,0.680,0.860,1.050,1.250,1.450,1.880
INFY,Watch,8/1/2000,,0.590,0.700,0.800,0.990,1.160,1.350,1.700
INTC,Watch,1/2/2008,,0.700,0.790,0.850,0.950,1.100,1.180,1.350
INTU,Watch,1/0/1900,,0.620,0.730,0.830,0.940,1.100,1.300,1.610
IPGP,Watch,12/13/2006,,0.500,0.680,0.800,1.000,1.200,1.530,1.950
ISRG,Watch,6/16/2000,,0.620,0.700,0.800,0.950,1.120,1.350,1.600
IT,Watch,1/3/2005,,0.610,0.750,0.900,0.990,1.080,1.240,1.450
K,Watch,1/2/1991,,0.720,0.800,0.900,1.000,1.200,1.370,1.500
KEYS,Watch,10/20/2014,,0.790,0.840,0.930,1.040,1.170,1.260,1.380
KLAC,Watch,5/13/2009,,0.620,0.730,0.850,0.950,1.100,1.200,1.390
KR,Watch,7/3/1989,,0.570,0.650,0.720,0.860,1.100,1.400,1.750
LDOS,Watch,7/1/2010,,0.710,0.760,0.865,0.940,1.050,1.190,1.520
LH,Watch,7/31/2000,,0.730,0.830,0.900,1.000,1.100,1.210,1.420
LLY,Watch,2/2/2009,,0.740,0.830,0.990,1.110,1.190,1.310,1.420
LOW,Watch,1/2/2009,,0.650,0.790,0.850,0.960,1.100,1.190,1.280
LPSN,Watch,1/2/2008,,0.530,0.740,0.900,1.100,1.300,1.600,2.160
LRCX,Watch,10/1/2008,,0.620,0.790,1.030,1.160,1.380,1.670,2.080
LSPD,Watch,9/11/2020,,0.745,0.875,0.930,1.000,1.070,1.190,1.360
LTC,Watch,1/2/2004,,0.635,0.720,0.860,1.020,1.100,1.260,1.370
LULU,Watch,12/1/2015,,0.650,0.740,0.850,0.975,1.100,1.250,1.440
LYV,Watch,11/3/2008,,0.630,0.730,0.860,0.950,1.040,1.220,1.350
MA,Watch,12/22/2006,,0.730,0.800,0.900,0.980,1.060,1.160,1.300
MAXR,Watch,1/2/2019,,0.560,0.720,0.800,0.940,1.070,1.300,1.690
MCD,Watch,6/1/2004,,0.760,0.820,0.900,0.970,1.050,1.160,1.320
MCHP,Watch,3/1/2002,,0.470,0.650,0.820,1.000,1.140,1.340,1.750
MCK,Watch,11/10/1994,,0.480,0.700,0.810,0.935,1.070,1.550,2.100
MCO,Watch,10/1/2008,,0.700,0.780,0.850,0.950,1.100,1.190,1.350
MDB,Watch,10/19/2017,,0.650,0.780,0.850,0.950,1.100,1.300,1.500
MDLZ,Watch,7/1/2005,,0.780,0.840,0.910,1.000,1.120,1.230,1.310
MDT,Watch,8/31/2010,,0.780,0.850,0.910,0.990,1.055,1.120,1.240
MELI,Watch,8/10/2007,,0.420,0.600,0.750,0.950,1.350,1.750,2.600
MGA,Watch,7/1/1993,,0.650,0.760,0.850,0.940,1.150,1.330,1.620
MIME,Watch,11/19/2015,,0.600,0.700,0.800,0.930,1.050,1.210,1.500
MKC,Watch,1/2/2008,,0.800,0.850,0.900,0.980,1.080,1.150,1.290
MKL,Watch,10/1/2008,,0.700,0.810,0.890,1.020,1.110,1.220,1.300
MRNA,Watch,12/7/2018,,0.600,0.750,0.850,1.000,1.280,1.570,1.980
MRVL,Watch,7/1/2016,,0.630,0.775,0.860,0.980,1.085,1.225,1.380
MSCI,Watch,8/26/2009,,0.630,0.770,0.850,0.960,1.120,1.350,1.760
MTCH,Watch,3/9/2009,,0.700,0.800,0.930,1.200,1.450,1.610,2.000
MU,Watch,1/2/2008,,0.480,0.650,0.735,0.900,1.120,1.500,1.750
NARI,Watch,5/22/2020,,0.770,0.840,0.910,1.010,1.090,1.240,1.400
NDAQ,Watch,5/1/2009,,0.650,0.730,0.830,0.890,0.950,1.100,1.270
NEE,Watch,2/19/2010,,0.850,0.900,0.950,1.000,1.050,1.140,1.220
NFLX,Watch,5/23/2002,,0.400,0.590,0.790,1.080,1.300,1.620,2.050
NKE,Watch,8/1/2002,,0.667,0.770,0.840,0.940,1.070,1.200,1.400
NTAP,Watch,1/2/2003,,0.490,0.680,0.820,0.970,1.270,1.550,1.800
NTDOY,Watch,6/6/2013,,0.660,0.730,0.840,0.950,1.130,1.260,1.580
NTES,Watch,6/2/2003,,0.650,0.740,0.830,0.950,1.100,1.320,1.550
NTLA,Watch,12/2/2019,,0.600,0.730,0.850,1.000,1.200,1.400,1.720
NVCR,Watch,7/1/2016,,0.550,0.660,0.760,0.880,1.010,1.250,1.650
NVR,Watch,8/1/2007,,0.620,0.770,0.830,0.900,1.050,1.240,1.550
NVS,Watch,11/7/1996,,0.780,0.860,1.005,1.080,1.210,1.300,1.430
NVTA,Watch,7/22/2015,,0.650,0.750,0.840,1.000,1.240,1.450,2.000
NXPI,Watch,12/20/2010,,0.500,0.600,0.700,0.800,0.960,1.210,1.550
ON,Watch,7/2/2001,,0.500,0.590,0.800,1.080,1.250,1.500,1.900
PANW,Watch,7/20/2012,,0.560,0.750,0.820,0.900,0.980,1.100,1.270
PAYX,Watch,6/3/2008,,0.750,0.800,0.845,0.900,0.980,1.050,1.195
PCTY,Watch,3/19/2014,,0.660,0.750,0.850,0.950,1.100,1.210,1.430
PENN,Watch,10/9/1995,,0.340,0.550,0.850,1.150,1.500,1.800,2.800
PING,Watch,9/19/2019,,0.695,0.780,0.845,0.960,1.040,1.210,1.395
PRGS,Watch,6/1/1998,,0.650,0.740,0.830,0.900,1.050,1.300,1.500
PRU,Watch,12/13/2001,,0.550,0.650,0.780,0.870,1.060,1.180,1.470
PSA,Watch,10/1/1993,,0.590,0.680,0.780,0.950,1.100,1.300,1.500
PTC,Watch,5/1/2002,,0.610,0.720,0.850,0.950,1.150,1.310,1.650
QCOM,Watch,1/2/2001,,0.620,0.720,0.815,0.970,1.100,1.380,1.870
QGEN,Watch,10/1/2008,,0.670,0.740,0.850,0.920,1.070,1.150,1.330
QRVO,Watch,1/2/2015,,0.650,0.750,0.855,1.000,1.155,1.300,1.590
RHHBY,Watch,8/20/2003,,0.750,0.800,0.960,1.040,1.170,1.270,1.360
RPD,Watch,12/8/2015,,0.740,0.850,0.950,1.100,1.220,1.370,1.500
RTX,Watch,7/1/1997,,0.595,0.690,0.790,0.930,1.030,1.130,1.300
RVLV,Watch,3/2/2020,,0.730,0.810,0.900,1.020,1.090,1.200,1.350
SAIL,Watch,11/17/2017,,0.650,0.795,0.900,1.010,1.120,1.330,1.560
SIVB,Watch,7/3/2006,,0.580,0.770,0.850,1.030,1.200,1.430,1.670
SMCI,Watch,3/29/2007,,0.550,0.630,0.730,0.860,1.100,1.350,1.700
SMG,Watch,7/1/1997,,0.670,0.750,0.850,0.990,1.110,1.250,1.450
SNAP,Watch,8/11/2017,,0.360,0.520,0.680,0.780,1.020,1.400,1.950
SNPS,Watch,1/2/2008,,0.640,0.800,0.900,1.020,1.170,1.350,1.690
SPGI,Watch,10/1/2008,,0.690,0.760,0.840,0.950,1.130,1.220,1.300
SPOT,Watch,4/3/2018,,0.645,0.735,0.870,0.960,1.080,1.250,1.470
STC,Watch,7/1/2009,,0.590,0.730,0.900,1.050,1.190,1.320,1.500
SWKS,Watch,1/2/2003,,0.550,0.660,0.900,1.090,1.350,1.770,2.220
SYNA,Watch,1/29/2002,,0.360,0.575,0.670,0.840,1.030,1.400,1.800
TECH,Watch,4/1/2009,,0.710,0.880,1.010,1.200,1.400,1.550,1.890
TEL,Watch,6/1/2009,,0.520,0.800,0.900,1.000,1.100,1.200,1.350
TENB,Watch,7/26/2018,,0.700,0.780,0.870,0.980,1.100,1.220,1.530
TGT,Watch,1/2/1990,,0.500,0.600,0.730,0.820,1.050,1.300,1.800
TJX,Watch,1/2/2001,,0.640,0.735,0.800,0.920,1.080,1.230,1.470
TRMB,Watch,6/20/2005,,0.615,0.740,0.820,0.960,1.210,1.420,1.610
TW,Watch,4/4/2019,,0.835,0.890,0.925,0.980,1.040,1.120,1.200
TWOU,Watch,3/28/2014,,0.540,0.640,0.720,0.850,1.000,1.190,1.430
TWTR,Watch,11/2/2015,,0.680,0.775,0.850,0.925,1.130,1.280,1.550
TXN,Watch,9/2/2008,,0.750,0.840,0.930,1.050,1.110,1.230,1.350
UI,Watch,10/14/2011,,0.650,0.740,0.850,1.000,1.240,1.430,1.780
UNH,Watch,7/1/2008,,0.640,0.770,0.830,0.900,1.000,1.120,1.230
UPS,Watch,11/10/1999,,0.690,0.750,0.810,0.940,1.100,1.320,1.500
V,Watch,3/7/2012,,0.670,0.740,0.800,0.870,0.960,1.060,1.180
VEEV,Watch,3/2/2015,,0.680,0.755,0.810,0.940,1.040,1.170,1.320
WEN,Watch,5/3/2010,,0.680,0.780,0.830,0.900,1.030,1.160,1.280
WIX,Watch,11/6/2013,,0.610,0.750,0.820,0.930,1.060,1.260,1.540
YETI,Watch,10/25/2018,,0.570,0.700,0.850,0.950,1.080,1.250,1.400
Z,Watch,8/3/2015,,0.610,0.730,0.815,1.000,1.100,1.250,1.400
ZBRA,Watch,6/20/2012,,0.650,0.750,0.930,1.140,1.290,1.450,1.680
ZLAB,Watch,12/27/2017,,0.635,0.730,0.850,0.970,1.100,1.360,1.620
ZNGA,Watch,1/4/2016,,0.700,0.820,0.900,0.990,1.050,1.140,1.300
ZS,Watch,3/16/2018,,0.590,0.680,0.820,0.980,1.150,1.300,1.460
ZTS,Watch,2/1/2013,,0.800,0.880,0.950,1.020,1.100,1.200,1.300
